GOAL_Number of sales;Investment in TV advertising;Digital advertising;Radio advertising;Newspapers advertising;Magazines advertising;Out of Home advertising;Month;Year;Day;Season
8800;81.2;79.79;0.3;7.36;1.84;40;August;2011;Monday;summer
8700;90.4;31.19;0.3;18.56;4.64;30;December;2009;Tuesday;fall
5300;13.1;26.75;0.4;20.48;5.12;30;January;2010;Friday;winter
9400;76.4;30.39;0.8;11.84;2.96;40;October;2010;Friday;fall
10100;150.8;127.34;1.3;19.44;4.86;15;February;2014;Saturday;winter
9500;95.7;57.69;1.4;6.66;0.74;40;November;2003;Saturday;fall
7300;30.6;37.21;1.5;29.7;3.3;30;August;2008;Friday;summer
9600;97.2;58.2;1.5;27.0;3.0;40;September;2003;Monday;summer
6900;29.5;36.74;1.6;18.63;2.07;30;May;2007;Tuesday;spring
10300;141.3;120.85;1.9;7.2;1.8;40;February;2013;Friday;winter
12600;165.6;50.36;10.0;10.0;1.0;15;December;2015;Tuesday;fall
14800;280.2;42.08;10.1;17.12;4.28;30;July;2009;Wednesday;summer
15000;284.3;75.7;10.6;10.0;1.0;15;February;2015;Sunday;winter
9900;75.5;41.12;10.8;10.0;1.0;15;December;2016;Thursday;fall
12900;180.8;92.29;10.8;46.72;11.68;35;May;2001;Tuesday;spring
7200;25.0;27.44;11.0;23.76;5.94;30;November;2009;Sunday;fall
8400;50.0;25.68;11.6;10.0;1.0;15;March;2015;Sunday;winter
3200;5.1;27.8;11.6;4.56;1.14;15;December;2013;Sunday;fall
9700;66.9;47.85;11.7;33.12;3.68;40;February;2005;Tuesday;winter
10600;88.2;84.58;11.8;20.72;5.18;40;June;2011;Wednesday;spring
9700;60.6;65.72;12.0;34.48;8.62;40;October;2011;Saturday;fall
6700;18.7;28.99;12.1;10.0;1.0;15;October;2016;Saturday;fall
9700;84.14;52.8;12.6;14.64;3.66;35;January;2003;Wednesday;winter
15900;286.0;86.06;13.9;10.0;1.0;15;September;2016;Thursday;summer
16100;281.7;216.77;13.9;29.6;7.4;15;July;2013;Monday;summer
11500;109.4;70.86;14.0;9.81;1.09;30;November;2008;Saturday;fall
12400;111.8;71.88;14.3;28.53;3.17;30;December;2006;Friday;fall
12200;139.2;33.99;14.3;20.48;5.12;40;September;2010;Wednesday;summer
13400;139.3;72.58;14.5;9.18;1.02;20;August;2006;Tuesday;summer
11900;118.2;95.07;14.7;4.32;1.08;15;September;2014;Monday;summer
11400;97.2;90.72;14.8;31.12;7.78;40;January;2013;Tuesday;winter
14100;175.7;36.09;15.4;1.92;0.48;40;May;2010;Saturday;spring
15700;239.3;106.74;15.5;24.57;2.73;20;March;2006;Wednesday;winter
14800;227.2;102.61;15.8;44.91;4.99;40;January;2005;Saturday;winter
5600;25.71;52.8;15.9;39.68;9.92;35;November;2002;Friday;fall
6600;20.4;38.25;16.0;17.84;4.46;40;December;2010;Wednesday;fall
10500;70.6;49.12;16.0;32.64;8.16;40;June;2003;Sunday;spring
15900;346.14;52.8;16.7;18.32;4.58;40;April;2003;Tuesday;spring
15500;281.68;52.8;16.9;20.96;5.24;35;December;2002;Sunday;fall
10900;74.4;75.15;17.0;10.32;2.58;40;September;2012;Saturday;summer
14700;187.9;36.79;17.2;14.32;3.58;30;August;2009;Saturday;summer
11900;112.9;63.57;17.4;34.74;3.86;40;August;2003;Friday;summer
14900;189.4;153.71;18.1;20.48;5.12;15;July;2014;Tuesday;summer
14400;173.5;142.85;18.1;24.56;6.14;15;May;2014;Thursday;spring
12900;132.7;114.98;18.4;27.68;6.92;15;April;2014;Tuesday;spring
15200;195.2;107.5;18.4;59.13;6.57;30;February;2008;Friday;winter
13200;136.2;71.53;19.2;14.94;1.66;20;October;2005;Saturday;fall
13200;120.2;68.38;19.6;9.28;2.32;35;August;2001;Wednesday;summer
8100;53.5;43.28;2.0;19.26;2.14;20;January;2006;Sunday;winter
10300;139.5;54.78;2.1;10.0;1.0;15;July;2016;Friday;summer
4800;8.6;18.82;2.1;0.8;0.2;35;September;2001;Saturday;summer
11800;276.7;74.08;2.3;10.0;1.0;15;November;2015;Sunday;fall
11600;225.0;178.04;2.4;12.48;3.12;40;March;2011;Tuesday;winter
10500;156.6;58.43;2.6;10.0;1.0;15;January;2016;Friday;winter
