GOAL-Flight Delay;Year;Month;DayofMonth;DayOfWeek;DepTime;CRSDepTime;ArrTime;CRSArrTime;UniqueCarrier;FlightNum;TailNum;ActualElapsedTime;CRSElapsedTime;AirTime;DepDelay;Origin;Dest;Distance;TaxiIn;TaxiOut;Cancelled;Diverted;CarrierDelay;WeatherDelay;NASDelay;SecurityDelay;LateAircraftDelay
84.0;2007;12;29;6;1519.0;1400;1645.0;1521;UA;806;N381UA;86.0;81.0;62.0;79.0;LAX;SFO;337;3;21;0;0;0;0;84;0;0
-7.0;2007;5;9;3;1502.0;1505;1613.0;1620;AA;1954;N425AA;71.0;75.0;50.0;-3.0;LAX;SFO;337;3;18;0;0;0;0;0;0;0
-14.0;2007;1;17;3;1451.0;1455;1606.0;1620;MQ;3166;N824AE;75.0;85.0;65.0;-4.0;SNA;SFO;372;3;7;0;0;0;0;0;0;0
4.0;2007;2;18;7;859.0;900;1104.0;1100;DL;1839;N625DL;305.0;300.0;275.0;-1.0;CVG;SFO;2036;6;24;0;0;0;0;0;0;0
-22.0;2007;7;23;1;1724.0;1720;1846.0;1908;DL;37;N3756;262.0;288.0;246.0;4.0;CVG;SFO;2036;5;11;0;0;0;0;0;0;0
17.0;2007;6;7;4;2215.0;2145;2337.0;2320;9 F;667;N929FR;142.0;155.0;127.0;30.0;DEN;SFO;967;7;8;0;0;17;0;0;0;0
-14.0;2007;1;7;7;600.0;605;720.0;734;UA;1505;N482UA;80.0;89.0;62.0;-5.0;LAS;SFO;414;6;12;0;0;0;0;0;0;0
120.0;2007;1;27;6;750.0;742;1114.0;914;OO;6393;N738SK;264.0;152.0;124.0;8.0;ABQ;SFO;896;4;136;0;0;0;0;120;0;0
-5.0;2007;1;27;6;1550.0;1550;1730.0;1735;AA;327;N346AA;220.0;225.0;201.0;0.0;DFW;SFO;1464;3;16;0;0;0;0;0;0;0
7.0;2007;4;9;1;1530.0;1530;1857.0;1850;UA;15;N510UA;387.0;380.0;361.0;0.0;JFK;SFO;2586;4;22;0;0;0;0;0;0;0
84.0;2007;8;2;4;1119.0;958;1239.0;1115;OO;6343;N763SK;80.0;77.0;61.0;81.0;SNA;SFO;372;4;15;0;0;0;0;84;0;0
-11.0;2007;4;22;7;1451.0;1455;1530.0;1541;OO;6212;N236SW;39.0;46.0;26.0;-4.0;SMF;SFO;86;5;8;0;0;0;0;0;0;0
-13.0;2007;4;28;6;1917.0;1910;2042.0;2055;AA;1415;N419AA;205.0;225.0;188.0;7.0;DFW;SFO;1464;3;14;0;0;0;0;0;0;0
-8.0;2007;8;13;1;1918.0;1920;2027.0;2035;UA;1172;N301UA;69.0;75.0;53.0;-2.0;LAX;SFO;337;5;11;0;0;0;0;0;0;0
-14.0;2007;4;5;4;1432.0;1436;1719.0;1733;UA;219;N423UA;347.0;357.0;329.0;-4.0;IAD;SFO;2419;6;12;0;0;0;0;0;0;0
17.0;2007;12;11;2;929.0;905;1042.0;1025;WN;469;N462WN;73.0;80.0;57.0;24.0;LAX;SFO;337;5;11;0;0;0;0;17;0;0
46.0;2007;8;18;6;1309.0;1227;1414.0;1328;OO;5737;N235SW;65.0;61.0;47.0;42.0;CIC;SFO;153;8;10;0;0;0;0;0;0;46
54.0;2007;1;21;7;2154.0;2030;4.0;2310;AA;1673;N4YEAA;250.0;280.0;233.0;84.0;ORD;SFO;1846;4;13;0;0;0;39;0;0;15
6.0;2007;1;12;5;656.0;700;1006.0;1000;UA;837;N424UA;370.0;360.0;345.0;-4.0;IAD;SFO;2419;11;14;0;0;0;0;0;0;0
49.0;2007;1;28;7;1227.0;1141;1334.0;1245;OO;6252;N560SW;67.0;64.0;44.0;46.0;SBP;SFO;191;7;16;0;0;0;0;49;0;0
1.0;2007;4;15;7;1836.0;1830;2109.0;2108;UA;863;N537UA;273.0;278.0;240.0;6.0;ORD;SFO;1846;4;29;0;0;0;0;0;0;0
19.0;2007;4;20;5;1156.0;1138;1301.0;1242;OO;6252;N566SW;65.0;64.0;53.0;18.0;SBP;SFO;191;4;8;0;0;19;0;0;0;0
